"Genus_Species","Sex","brain_mass","body_mass"
"Garrulax_cineraceus","f",1.7,42.6
"Garrulax_formosus","f",1.966,73.744
"Garrulax_leucolophus","f",2.3,117.4
"Garrulax_milnei","f",1.61,58.35
"Garrulus_glandarius","f",3.86663157894737,162.958894736842
"Garrulus_glandarius","m",4.01866666666667,171.933333333333
"Gavia_pacifica","m",6.86,2345
"Gavia_stellata","f",5.564,1332
"Gavia_stellata","m",5.71,1702.66666666667
"Geopelia_cuneata","m",0.561,36.988
"Geopelia_striata","m",0.75,48.1
"Gracula_religiosa","m",3.04,165.35275
"Gracula_religiosa","unknown",2.5,180.7
"Grus_canadensis","m",8.58,1651
"Guaruba_guarouba","f",7.774,243.026
"Guaruba_guarouba","m",7.2705,221.9985
"Gubernatrix_cristata","f",1.18,52.8
"Gubernatrix_cristata","m",1.25333333333333,30.55
"Gyps_africanus","f",19.6,5270
"Gyps_fulvus","unknown",22.85,9750
"Haematopus_ostralegus","f",3.87733333333333,470.717666666667
"Haematopus_ostralegus","m",3.831,469.035666666667
"Halcyon_leucocephala","m",0.9,36.3
"Halcyon_malimbica","f",1.3,81.8
"Haliaeetus_vocifer","f",12.93,3500
"Heterophasia_capistrata","m",1.22,51.2
"Heteroscelus_brevipes","f",1.26,123.92
"Heteroscelus_incanus","m",1.308,87.731
"Himantopus_himantopus","f",1.82,134.5
"Hippolais_icterina","f",0.458666666666667,15.708
"Hippolais_icterina","m",0.477571428571429,12.9714285714286
"Hirundo_rustica","f",0.495428571428571,17.2097857142857
"Hirundo_rustica","m",0.525034482758621,16.2214482758621
"Histrionicus_histrionicus","m",4.636,635
"Hydrobates_leucorrhoa","m",0.8,30.2
"Hydrobates_pelagicus","f",0.58,22.49
"Hylocichla_mustelina","m",1.168,33.678
"Hymenops_perspicillatus","m",0.733333333333333,23
"Hypargos_niveoguttatus","f",0.529722222222222,9.66388888888889
"Hypargos_niveoguttatus","m",0.571025641025641,9.83897435897436
"Hypergerus_atriceps","m",0.92,24.7
"Hypsipetes_madagascariensis","m",1.1,45.6
"Icterus_gularis","m",1.77,46.732
"Irania_gutturalis","m",0.65,25.48
"Irena_puella","f",1.16,61.225
"Irena_puella","m",1.115,53.05
"Jacana_jacana","f",1.146,99.683
"Junco_hyemalis","f",0.755,18.96
"Junco_hyemalis","m",0.736,16.461
"Junco_hyemalis","unknown",0.86,17.7
"Jynx_torquilla","f",2.16,35.525
"Jynx_torquilla","m",0.834625,39.0565
"Lagonosticta_larvata","m",0.425,8.155
"Lagonosticta_rubricata","m",0.37,7.05
"Lagonosticta_senegala","m",0.395,7.025
"Lagopus_lagopus","f",2.4926,574.5
"Lagopus_lagopus","m",2.63966666666667,627.316666666667
"Lagopus_lagopus","unknown",2.65,627.3
"Lagopus_muta","f",2.331,457.482
"Lagopus_muta","m",2.178,519
"Lamprotornis_chalybaeus","f",1.4,55.3
"Lamprotornis_purpureus","f",1.7,66
"Lamprotornis_purpureus","m",1.746,89.8515
"Lamprotornis_superbus","f",1.71725,47.28575
"Lamprotornis_superbus","m",1.86,49.5885714285714
"Lanius_collurio","m",0.915333333333333,26.8433333333333
"Lanius_collurio","unknown",2.38,64
"Lanius_cristatus","f",0.97,31.1
"Lanius_excubitor","f",1.58,64.05
"Lanius_meridionalis","m",1.38,55.2
"Larus_argentatus","f",5.5785,528.5
"Larus_argentatus","unknown",7.08,1024.33333333333
"Larus_cachinnans","f",6.202,780
"Larus_cachinnans","m",6.126,992.5
"Larus_canus","f",4.05575,328.906
"Larus_canus","m",4.22925,426.65025
"Larus_delawarensis","f",8.72,720
"Larus_fuscus","f",5.064,555
"Larus_fuscus","m",5.7985,681.5
"Larus_marinus","f",6.59966666666667,1436.66666666667
"Larus_marinus","m",7.63933333333333,1693.33333333333
"Larus_minutus","f",1.414,80.731
"Larus_philadelphia","m",2.49,205
"Larus_ridibundus","f",2.74846153846154,239.272538461538
"Larus_ridibundus","m",2.92766666666667,227.012444444444
"Laterallus_leucopyrrhus","f",0.95,31
"Laterallus_leucopyrrhus","m",0.88,39.7
"Lathamus_discolor","f",2.155,73.65
"Lathamus_discolor","m",2.45666666666667,60.8666666666667
"Leiothrix_argentauris","f",0.923,26.4325
"Leiothrix_argentauris","m",1.03666666666667,23.2555555555556
"Leiothrix_lutea","m",0.798,19.481
"Leiothrix_lutea","unknown",1.07,16.4
"Leptoptilos_crumeniferus","m",30.14,7130
"Lessonia_rufa","f",0.5,15.6
"Lessonia_rufa","m",0.413333333333333,14.4
"Leucopsar_rothschildi","f",1.81,87.3
"Leucosticte_arctoa","m",0.879,25.932
"Limosa_haemastica","f",2.35,239.5
"Limosa_lapponica","f",2.547,198.5
"Limosa_lapponica","unknown",2.34,197.3
"Linurgus_olivaceus","m",0.767,19.129
