"Population","Mother","Cross_id","Block","Treatment","newseedsize","Germinated"
"PM","01.02x16.03b","PM_18","2B",112,0.0722966507177033,1
"PM","01.01x17.02b","PM_19","2B",3.5,0.002296650717703,0
"PM","01.01x17.02b","PM_19","2B",7,-0.00770334928229679,0
"PM","01.01x17.02b","PM_19","2B",14,-0.00770334928229679,0
"PM","01.01x17.02b","PM_19","2B",28,-0.0677033492822964,0
"PM","01.01x17.02b","PM_19","2B",56,-0.0177033492822966,0
"PM","01.01x17.02b","PM_19","2B",112,-0.00770334928229679,0
"PM","03.01x16.03a","PM_20","2B",3.5,0.0122966507177037,0
"PM","03.01x16.03a","PM_20","2B",7,-0.137703349282297,0
"PM","03.01x16.03a","PM_20","2B",14,-0.0277033492822964,0
"PM","03.01x16.03a","PM_20","2B",28,0.002296650717703,0
"PM","03.01x16.03a","PM_20","2B",56,0.002296650717703,0
"PM","03.01x16.03a","PM_20","2B",112,-0.0477033492822968,1
"PM","01.01x17.02b","PM_21","2B",3.5,-0.0177033492822966,0
"PM","01.01x17.02b","PM_21","2B",7,-0.0177033492822966,0
"PM","01.01x17.02b","PM_21","2B",14,0.0122966507177037,0
"PM","01.01x17.02b","PM_21","2B",28,0.042296650717703,0
"PM","01.01x17.02b","PM_21","2B",56,0.002296650717703,0
