"Eufriesea_atlantica","Eufriesea_auriceps","Eufriesea_dentilabris","Eufriesea_mussitans","Eufriesea_ornata","Eufriesea_smaragdina","Eufriesea_surinamensis","Eufriesea_violacea","Euglossa_adiastola","Euglossa_amazonica","Euglossa_analis","Euglossa_annectans","Euglossa_aratingae","Euglossa_augaspis","Euglossa_augaspula","Euglossa_avicula","Euglossa_bembei","Euglossa_calycina","Euglossa_carolina","Euglossa_chalybeata","Euglossa_clausi","Euglossa_cognata","Euglossa_cordata","Euglossa_crassipunctata","Euglossa_cyanochlora","Euglossa_cybelia","Euglossa_despecta","Euglossa_fimbriata","Euglossa_gaianii","Euglossa_hemichlora","Euglossa_ignita","Euglossa_imperialis","Euglossa_iopoecila","Euglossa_ioprosopa","Euglossa_leucotricha","Euglossa_liopoda","Euglossa_marianae","Euglossa_melanotricha","Euglossa_milenae","Euglossa_mixta","Euglossa_monnei","Euglossa_pepei","Euglossa_perpulchra","Euglossa_pleosticta","Euglossa_roderici","Euglossa_roubiki","Euglossa_sapphirina","Euglossa_securigera","Euglossa_stellfeldi","Euglossa_townsendi","Euglossa_truncata","Euglossa_viridis","Eulaema_atleticana","Eulaema_bombiformis","Eulaema_cingulata","Eulaema_flavescens","Eulaema_marcii","Eulaema_nigrita","Eulaema_niveofasciata","Exaerete_frontalis","Exaerete_smaragdina"
0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,11,0,0,55,0,5,0,0,0,0,0,1,0,0,0,41,33,0,0,0,0,0,0,0,6,0,0,0,1,0,18,0,0,0,0,0,0,16,0,0,0,2,8,17,4,4
0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,7,0,2,1,0,0,0,0,2,4,0,0,19,32,0,0,0,0,2,0,1,1,0,0,0,1,0,54,0,0,0,0,0,0,3,0,0,0,33,7,11,3,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,4,0,0,7,0,0,0,0,12,0,0,0,19,43,0,0,0,0,3,0,0,5,0,0,0,1,0,9,0,0,0,0,0,0,0,0,0,0,9,8,7,1,0
1,0,0,0,0,0,4,0,0,1,0,0,0,0,1,13,2,0,103,0,18,9,0,0,0,0,4,9,0,0,24,39,0,0,3,0,5,0,2,6,0,0,0,10,0,46,0,12,0,0,0,0,14,0,0,0,27,48,13,4,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2,0,0,88,0,5,4,0,0,2,0,35,0,0,0,54,83,0,0,0,0,13,0,1,13,0,0,0,2,0,33,0,0,0,0,0,0,6,0,0,0,10,27,4,0,0
0,0,0,0,0,0,0,0,0,2,0,0,1,0,31,8,3,0,179,0,37,39,0,0,0,0,32,18,0,4,129,63,0,0,0,2,36,0,1,28,1,1,0,9,0,72,0,26,0,0,0,1,29,0,0,0,29,67,20,2,0
0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,1,0,0,60,0,3,15,0,0,0,0,18,1,0,0,92,99,0,0,0,0,10,0,0,17,1,1,0,2,0,37,0,0,0,0,0,1,4,0,0,0,22,13,12,1,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,37,0,2,2,0,0,0,0,0,10,0,0,14,21,0,0,0,0,3,0,0,5,1,1,0,1,0,38,0,1,0,0,0,0,11,0,0,0,10,4,6,3,1
0,0,0,0,0,0,0,0,0,5,0,0,0,0,1,0,1,0,132,0,13,10,0,0,0,0,10,3,0,0,30,19,0,0,0,0,7,0,2,21,1,0,0,3,0,16,0,1,0,0,0,0,8,0,0,0,5,28,9,1,7
1,0,0,0,0,0,1,0,0,6,0,0,0,0,3,2,0,0,220,0,11,4,0,0,0,0,13,5,0,0,7,13,0,0,0,2,4,0,0,59,0,0,0,1,0,14,0,3,0,0,0,0,18,0,0,0,13,36,6,10,5
5,0,0,0,0,0,8,0,0,2,0,0,1,0,2,0,0,0,38,0,12,0,0,0,0,0,3,3,0,0,22,9,0,0,0,0,0,0,1,2,0,0,0,2,0,20,0,5,0,0,0,0,4,0,0,0,25,18,3,1,2
0,0,0,0,0,0,0,0,0,4,0,0,0,0,3,2,0,0,18,0,23,0,0,0,3,0,3,0,0,0,51,17,0,0,0,0,0,0,1,3,0,0,0,4,0,32,0,8,0,0,0,0,9,0,0,0,35,34,8,0,4
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,15,0,4,0,0,0,0,0,0,0,0,0,46,9,0,0,0,0,0,0,0,0,1,0,0,0,0,4,0,0,0,0,0,0,3,0,0,0,27,4,3,2,4
2,0,0,0,0,0,6,0,0,3,0,0,0,0,7,0,0,0,44,0,32,2,0,0,4,0,10,8,0,0,43,9,0,0,0,0,0,0,1,3,1,0,0,5,0,13,0,15,0,0,0,0,6,0,0,0,16,22,1,0,3
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,206,0,1,0,0,0,0,0,2,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,13,0,0,1
1,0,0,0,0,0,1,0,0,3,0,0,0,0,4,0,1,0,107,0,35,1,0,0,1,0,4,5,0,0,27,3,0,0,0,0,0,0,2,0,0,0,0,6,0,9,0,1,0,0,0,0,2,0,0,0,5,86,0,1,19
0,0,0,0,0,0,3,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,33,99,0,0,0
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,1,0,0,0,0,0,21,94,0,0,0
