table;pop;sp;treat;plant;GAD;ASD;MF;GSDr;GSDc;GSDl;GSD;GW;GHr;GHl;GA;UBW;UBL;LBW;LBL;UB;LB
2;PM;L;D;PM.W.1.04;5,87;5,18;10;3,21;3,93;2,78;3,31;5,89;2,32;2,22;3,66;16,83;15,54;16,28;16,21;16,17;16,24
2;PM;L;W;PM.W.1.04;6,71;4,22;10;5,37;7,03;5,52;5,97;8,72;3,71;3,83;5,73;32;28,68;30,94;30,81;30,29;30,87
2;PM;L;W;PM.W.1.04;7,29;3,75;NA;4,35;5,18;4,39;4,64;7,74;3,84;3,41;5,30;25,2;25,8;25,55;26,97;25,50;26,25
2;PM;L;D;PM.W.1.04b;3,54;3,23;9;3,01;4,76;3,06;3,61;4,73;2,57;2,22;3,37;16,76;17,24;17,34;18,61;17;17,96
2;PM;L;D;PM.W.1.04b;4,15;4,37;10;3,34;4,31;3,38;3,68;5,49;1,88;2,26;3,37;14,15;12,49;14,76;13,38;13,29;14,05
2;PM;L;W;PM.W.1.04b;6,3;1,74;10;4,96;5,95;4,82;5,24;6,68;2,52;2,98;4,29;22,16;18,3;22,29;21,07;20,14;21,67
2;PM;L;W;PM.W.1.04b;6,92;2,21;NA;4,5;6,76;4,69;5,32;6,3;2,75;3,06;4,28;20,91;21,49;21,18;23,12;21,20;22,13
1;PM;L;W;PM.W.1.05;6,28;1,74;10;5,14;6,4;5,37;5,64;7,38;3,08;2,7;4,62;23,69;19,99;22,3;22,15;21,76;22,22
1;PM;L;W;PM.W.1.05;5,99;2,54;10;5,39;6,21;5,21;5,6;7,06;2,88;2,94;4,53;20,95;19,25;21,29;20,65;20,08;20,97
1;PM;L;D;PM.W.1.05;6,25;4,07;10;4,03;4,89;4,59;4,50;5,9;2,81;2,85;4,09;18,46;17,69;19,85;19,22;18,07;19,53
1;PM;L;D;PM.W.1.05;4,94;2,85;NA;3,6;4,62;3,43;3,88;4,91;2,32;1,81;3,18;14,88;13,97;15,04;15,88;14,42;15,45
4;PM;L;D;PM.W.1.06;5,31;2,47;10;4,6;4,82;4,42;4,61;6,53;2,56;3,19;4,33;18,87;16,45;20,33;18,05;17,62;19,16
4;PM;L;D;PM.W.1.06;5,46;2,89;NA;3,53;3,97;2,95;3,48;5,68;2,05;2,04;3,41;16,3;13,42;18,13;15,55;14,79;16,79
4;PM;L;W;PM.W.1.06;6,1;2,38;10;4,76;6,79;5,46;5,67;6,91;2,85;2,88;4,45;25,26;18,28;28,27;24,04;21,49;26,07
4;PM;L;W;PM.W.1.06;3,77;3,68;NA;4,94;3,12;5,28;4,45;5,98;1,93;3,03;3,85;22,55;21,3;26,35;23,86;21,92;25,07
4;PM;L;D;PM.W.1.07;5,49;3,65;10;4,08;4,52;3,92;4,17;6,52;2,41;2,44;3,98;20,93;16,6;20,36;20,03;18,64;20,19
4;PM;L;D;PM.W.1.07;5,43;3,08;10;3;4,16;3,24;3,47;6,67;2,16;2,39;3,9;17,99;16,05;18,71;17,28;16,99;17,98
4;PM;L;W;PM.W.1.07;6,97;2,53;10;4,83;5,68;5,17;5,23;6,96;3,01;3,18;4,64;25,07;21,32;25,1;23,95;23,12;24,52
4;PM;L;W;PM.W.1.07;6,58;2,7;NA;4,61;5,99;4,36;4,99;7,2;3,44;3,62;5,04;24,57;22,29;24,07;24,33;23,40;24,20
3;PM;L;W;PM.W.1.08;6,81;2,48;10;3,65;5,15;3,12;3,97;6,97;2,76;2,85;4,42;19,61;18,29;20,37;20,73;18,94;20,55
3;PM;L;W;PM.W.1.08;5,76;4,34;10;4,32;4,99;4,2;4,5;7,12;3,19;3,23;4,78;21,1;19,79;22,17;21,92;20,43;22,04
3;PM;L;D;PM.W.1.08;4,87;3,66;10;3,4;4,33;3,5;3,74;6,69;2,68;2,45;4,14;19,77;17,98;22,06;22,24;18,85;22,15
3;PM;L;D;PM.W.1.08;5,43;3,81;NA;2,99;3,64;3,24;3,29;6,11;2,84;2,68;4,11;16,06;16,85;16,27;17,59;16,45;16,92
1;PM;L;W;PM.W.1.09;5,27;2,01;10;5,8;6,35;6,04;6,06;6,17;2,8;2,57;4,07;22,41;20,81;23,23;23,42;21,6;23,32
1;PM;L;W;PM.W.1.09;6,64;2,21;10;3,47;5,92;4,86;4,75;6,13;2,68;2,79;4,09;22,9;21,56;24,38;24,08;22,22;24,23
1;PM;L;D;PM.W.1.09;2,91;2,68;10;3,15;3,44;2,83;3,14;4,54;1,73;1,38;2,66;13,2;12,11;13,06;14,46;12,64;13,74
1;PM;L;D;PM.W.1.09;3;2,55;NA;2,59;2,4;2,11;2,37;4,33;1,8;1,59;2,71;11,42;11,67;12,42;13,02;11,54;12,72
2;PM;L;D;PM.W.1.10;5,2;3,43;10;3,08;4,13;3,07;3,43;6,54;2,66;2,85;4,24;18,68;18,9;17,82;19,97;18,79;18,86
2;PM;L;D;PM.W.1.10;5,68;3,44;10;3,61;4,89;3,24;3,91;6,3;2,57;2,26;3,9;18,78;18,16;19,43;20,76;18,47;20,08
2;PM;L;W;PM.W.1.10;5,76;2,41;10;3,88;5,22;4,99;4,70;7,03;3;3,12;4,64;25,11;21,74;22,64;23,76;23,36;23,19
2;PM;L;W;PM.W.1.10;4,88;3,66;NA;4,39;5,12;3,59;4,37;7,63;3,36;3,13;4,98;23,33;23,23;23,75;24,91;23,28;24,32
3;PM;L;W;PM.W.1.11;4,37;3,57;10;4,73;5,32;4,17;4,74;6,2;2,6;2,66;4,04;23,1;23,35;22,06;24,86;23,22;23,42
3;PM;L;W;PM.W.1.11;4,85;2,34;10;4,68;4,37;5,48;4,84;6,53;2,6;2,47;4,07;23,82;24,48;25,92;27,91;24,15;26,9
3;PM;L;D;PM.W.1.11;5,64;3,35;10;4,8;4,93;4,8;4,84;5,59;1,85;2,13;3,34;20,96;20,57;22,04;21,62;20,76;21,83
3;PM;L;D;PM.W.1.11;4,91;3,69;NA;3,41;4,58;4,06;4,02;6,42;2,81;2,83;4,25;20,05;21,03;21,34;22,02;20,53;21,68
3;PM;L;W;PM.W.1.12;5,32;1,51;11;5,22;6,63;5,49;5,78;7,09;2,59;3,31;4,57;23,57;21,83;21,77;22,08;22,68;21,92
3;PM;L;W;PM.W.1.12;5,44;2,43;10;4,38;5,27;3,88;4,51;6,43;2,13;2,51;3,86;21,35;20,04;21,59;22,55;20,68;22,06
3;PM;L;D;PM.W.1.12;3,45;2,81;10;3,15;3,35;2,87;3,12;5,3;2,1;2,09;3,33;15,74;15,57;16,99;17,53;15,65;17,26
3;PM;L;D;PM.W.1.12;5,06;3,01;NA;3,64;5,05;4,35;4,35;5,22;2,49;2,71;3,68;18,5;17,36;18,43;19,56;17,92;18,99
1;PM;L;W;PM.W.1.13;3,36;0;9;3,41;3,92;4,5;3,94;5,86;2,53;2,5;3,84;22,09;20,47;24,35;22,12;21,26;23,21
