Patry	Hostplant	Sex	BL	OL	Wing_length	Wing_width	Wing_area	Melanized_area	Melanization_ratio	Baltic
Sympatry	Heterophyllum	Female	4.26	1.59	4.752475248	2.207920792	8.456327811	5.106852269	60.3908976	East
Allopatry	Heterophyllum	Male	4.25	NA	4.875	2.197916667	8.809787326	4.702148438	53.37414245	East
Allopatry	Heterophyllum	Female	4.21	1.78	5.15625	2.28125	9.289605035	5.282769097	56.8675318	East
Allopatry	Heterophyllum	Male	4.4	NA	4.71875	2.21875	8.476128472	4.909288194	57.91899227	East
Allopatry	Heterophyllum	Female	4.66	1.9	5.06	2.44	9.991	6.5316	65.37483735	East
Allopatry	Heterophyllum	Male	4.07	NA	4.585858586	2.121212121	7.753698602	5.730027548	73.9005711	East
Allopatry	Heterophyllum	Female	4.33	1.55	4.990196078	2.254901961	9.111880046	6.711553249	73.657173	East
Allopatry	Heterophyllum	Male	4.31	NA	4.740740741	1.989417989	7.567761261	4.14579659	54.78233849	East
Allopatry	Heterophyllum	Male	4.32	NA	4.84	2.3	9.0086	5.9464	66.00803676	East
Allopatry	Heterophyllum	Female	4.49	NA	5.353535354	2.393939394	10.34231201	6.647689011	64.27662408	East
Allopatry	Heterophyllum	Male	4.14	NA	4.726315789	1.947368421	7.308033241	4.983379501	68.19043287	East
Allopatry	Heterophyllum	Female	4.13	1.83	4.592592593	1.989417989	7.116262143	4.419585118	62.1054288	East
Allopatry	Heterophyllum	Male	4.85	NA	4.819148936	2.329787234	8.788592123	5.021502943	57.13660245	East
Allopatry	Heterophyllum	Female	4.74	1.85	5.073684211	2.389473684	9.565761773	5.194903047	54.30725927	East
Allopatry	Heterophyllum	Male	4.56	NA	4.87	2.31	9.0633	6.5184	71.92082354	East
Allopatry	Heterophyllum	Female	4.15	1.46	4.784313725	2.254901961	8.805171088	6.185793925	70.25183115	East
Allopatry	Heterophyllum	Male	4.6	NA	4.871287129	2.386138614	9.421037153	5.885305362	62.46982436	East
Allopatry	Heterophyllum	Female	3.82	1.61	4.356435644	2.108910891	7.220272522	4.726007254	65.45469357	East
Allopatry	Heterophyllum	Male	4.56	NA	5.09375	2.21875	9.117621528	5.039605035	55.27324225	East
Allopatry	Heterophyllum	Female	4.68	2	5.25	2.28125	9.542426215	5.703233507	59.76712189	East
Allopatry	Heterophyllum	Male	4.58	NA	4.696078431	2.284313725	8.678104575	5.693291042	65.60523663	East
Allopatry	Heterophyllum	Female	4.65	1.89	5.135416667	2.260416667	9.154405382	4.757269965	51.96700132	East
Allopatry	Heterophyllum	Male	4.64	NA	4.802083333	2.229166667	8.592664931	4.897569444	56.99709559	East
Allopatry	Heterophyllum	Female	4.78	1.86	5.284210526	2.4	9.928531856	5.673684211	57.14524859	East
